STATION,STATION_NAME,DATE,TAVG
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970525,18.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970526,22.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970527,22.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970528,23.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970529,21.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970530,21.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970531,20.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970601,15.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970602,17.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970603,19.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970604,18.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970605,19.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970606,21.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970607,20.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970608,21.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970609,23.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970610,22.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970611,23.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970612,24.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970613,23.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970614,19.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970615,20.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970616,19.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970617,18.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970618,19.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970619,18.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970620,19.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970621,17.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970622,15.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970623,15.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970624,16.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970625,17.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970626,17.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970627,16.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970628,13.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970629,12.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970630,15.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970701,17.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970702,16.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970703,16.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970704,15.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970705,16.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970706,17.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970707,19.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970708,21.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970709,19.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970710,19.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970711,19.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970712,21.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970713,23.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970714,23.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970715,23.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970716,23.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970717,18.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970718,19.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970719,18.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970720,20.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970721,22.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970722,23.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970723,23.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970724,20.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970725,20.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970726,21.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970727,22.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970728,24.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970729,26.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970730,24.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970731,23.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970801,22.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970802,23.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970803,26.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970804,25.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970805,21.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970806,22.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970807,24.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970808,25.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970809,27.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970810,26.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970811,19.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970812,23.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970813,23.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970814,26.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970815,25.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970816,24.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970817,24.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970818,24.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970819,24.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970820,26.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970821,24.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970822,25.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970823,26.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970824,25.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970825,22.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970826,21.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970827,21.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970828,17.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970829,18.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970830,20.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970831,23.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970901,19.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970902,17.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970903,19.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970904,20.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970905,22.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970906,21.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970907,21.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970908,19.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970909,20.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970910,21.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970911,21.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970912,21.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970913,16.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970914,14.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970915,16.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970916,20.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970917,20.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970918,20.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970919,20.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970920,19.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970921,18.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970922,20.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970923,21.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970924,21.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970925,19.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970926,19.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970927,20.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970928,19.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970929,20.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19970930,20.8
